[2022-06-08 19:00:33.025] [remoteagent] [info] Extension host agent started.
[2022-06-08 19:00:33.091] [remoteagent] [info] [127.0.0.1][a3c951e3][ManagementConnection] New connection established.
[2022-06-08 19:00:33.254] [remoteagent] [info] [127.0.0.1][3a4958f7][ExtensionHostConnection] New connection established.
[2022-06-08 19:00:33.367] [remoteagent] [info] [127.0.0.1][3a4958f7][ExtensionHostConnection] <2097> Launched Extension Host Process.
[2022-06-08 19:00:33.372] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.createNewFile.title.
[2022-06-08 19:00:33.372] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.menu.createNewFile.title.
[2022-06-08 19:00:33.372] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.analysis.restartLanguageServer.title.
[2022-06-08 19:00:33.372] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.clearPersistentStorage.title.
[2022-06-08 19:00:33.372] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.clearWorkspaceInterpreter.title.
[2022-06-08 19:00:33.373] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.configureTests.title.
[2022-06-08 19:00:33.373] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.createTerminal.title.
[2022-06-08 19:00:33.373] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.enableLinting.title.
[2022-06-08 19:00:33.373] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.enableSourceMapSupport.title.
[2022-06-08 19:00:33.373] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.execInTerminal.title.
[2022-06-08 19:00:33.373] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.execInTerminalIcon.title.
[2022-06-08 19:00:33.373] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.debugInTerminal.title.
[2022-06-08 19:00:33.373] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.execSelectionInDjangoShell.title.
[2022-06-08 19:00:33.374] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.execSelectionInTerminal.title.
[2022-06-08 19:00:33.374] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.goToPythonObject.title.
[2022-06-08 19:00:33.374] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.launchTensorBoard.title.
[2022-06-08 19:00:33.374] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.refreshTensorBoard.title.
[2022-06-08 19:00:33.374] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.reportIssue.title.
[2022-06-08 19:00:33.374] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.testing.rerunFailedTests.title.
[2022-06-08 19:00:33.374] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.runLinting.title.
[2022-06-08 19:00:33.374] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.setInterpreter.title.
[2022-06-08 19:00:33.374] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.setLinter.title.
[2022-06-08 19:00:33.374] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.sortImports.title.
[2022-06-08 19:00:33.374] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.startREPL.title.
[2022-06-08 19:00:33.375] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.viewLanguageServerOutput.title.
[2022-06-08 19:00:33.375] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.viewOutput.title.
[2022-06-08 19:00:33.375] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.analysis.restartLanguageServer.title.
[2022-06-08 19:00:33.375] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.clearPersistentStorage.title.
[2022-06-08 19:00:33.375] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.clearWorkspaceInterpreter.title.
[2022-06-08 19:00:33.375] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.configureTests.title.
[2022-06-08 19:00:33.375] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.createTerminal.title.
[2022-06-08 19:00:33.375] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.enableLinting.title.
[2022-06-08 19:00:33.375] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.enableSourceMapSupport.title.
[2022-06-08 19:00:33.376] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.execInTerminal.title.
[2022-06-08 19:00:33.376] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.execInTerminalIcon.title.
[2022-06-08 19:00:33.376] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.debugInTerminal.title.
[2022-06-08 19:00:33.376] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.execSelectionInDjangoShell.title.
[2022-06-08 19:00:33.376] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.execSelectionInTerminal.title.
